study_id,bqproj_id,project_name,include_wind_lca,gdpr_link,project url,compl_dat,num_tabs,quest,training,polygon
pareus,pareus,PAREUS,FALSE,https://drive.google.com/file/d/19c6WNHgiZ-ij-WyqREWvgipxlwfgfSbz/view,https://www.nina.no/english/About-NINA/Projects/Pareus,1.1.2026,2,TRUE,TRUE,TRUE
eu-wendy,wendy,WENDY,TRUE,https://drive.google.com/file/d/1bbz7MGGaHvm6ohb2aD2eI5xHkKi6tTkq/view,https://wendy-project.eu/,1.9.2025,5,TRUE,TRUE,FALSE
